play,player,Team,score,note,year
3B,이진영,SK,,,2002
HR,이승엽,SAM,47,,2002
RBI,이승엽,SAM,126,,2002
R,이승엽,SAM,123,,2002
SB,김종국,KIA,50,9SB실패,2002
SLG,이승엽,SAM,0.689,,2002
OBP,장성호,KIA,0.445,,2002
W,키퍼,KIA,19,9패,2002
ERA,엘비라,SAM,2.50,137이닝38자책점,2002
WPCT,김현욱,SAM,1.000,10승0패,2002
K,김진우,KIA,177,,2002
RF,조용준,HYU,37,28SV9RF승,2002
SV,진필중,DOO,31,,2002
HLD,차명주,DOO,17,,2002
AVG,김동주,DOO,0.342,401타수137H,2003
H,박한이,SAM,170,,2003
2B,이종범,KIA,43,,2003
3B,박용택,LG,6,,2003
3B,이진영,SK,,,2003
3B,전준호,HYU,,,2003
HR,이승엽,SAM,56,,2003
RBI,이승엽,SAM,144,,2003
R,이승엽,SAM,115,,2003
SB,이종범,KIA,50,10SB실패,2003
SLG,심정수,HYU,0.720,,2003
OBP,심정수,HYU,0.478,,2003
W,정민태,HYU,17,2패,2003
ERA,바워스,HYU,3.01,143.66이닝48자책점,2003
WPCT,정민태,HYU,0.895,17승2패,2003
K,이승호,LG,157,,2003
RF,조웅천,SK,36,30SV6RF승,2003
SV,이상훈,LG,30,,2003
SV,조웅천,SK,,,2003
HLD,이상열,HYU,16,,2003
HLD,차명주,DOO,,,2003
AVG,브룸바,HYU,0.343,475타수163H,2004
H,홍성흔,DOO,165,,2004
2B,이범호,HAN,35,,2004
3B,전준호,HYU,7,,2004
HR,박경완,SK,34,,2004
RBI,이호준,SK,112,,2004
R,이종범,KIA,100,,2004
SB,전준호,HYU,53,7SB실패,2004
SLG,브룸바,HYU,0.608,,2004
OBP,브룸바,HYU,0.468,,2004
W,배영수,SAM,17,2패,2004
W,레스,DOO,,8패,2004
W,리오스,KIA,,8패,2004
ERA,박명환,DOO,2.50,158.66이닝44자책점,2004
WPCT,배영수,SAM,0.895,17승2패,2004
K,박명환,DOO,162,,2004
SV,임창용,SAM,36,,2004
HLD,임경완,LOT,22,,2004
AVG,李炳圭,LG,0.337,466타수157H,2005
H,李炳圭,LG,157,ERA,2005
2B,라이온,LOT,40,,2005
3B,손시헌,DOO,5,,2005
3B,정수성,HYU,,,2005
HR,서튼,HYU,35,,2005
RBI,서튼,HYU,102,,2005
R,데이비스,HAN,90,,2005
R,박용택,LG,,,2005
SB,박용택,LG,43,7SB실패,2005
SLG,서튼,HYU,0.592,,2005
OBP,김재현,SK,0.445,,2005
W,손민한,LOT,18,7패,2005
손민한,LOT,2.46,,168.33이닝46자책점,2005
WPCT,오승환,SAM,0.909,10승1패,2005
K,리오스,DOO,147,,2005
K,배영수,SAM,,,2005
SV,정재훈,DOO,30,,2005
HLD,이재우,DOO,28,,2005
AVG,이대호,LOT,0.336,443타수149H,2006
H,이용규,KIA,154,,2006
2B,양준혁,SAM,31,,2006
3B,이용규,KIA,9,,2006
HR,이대호,LOT,26,,2006
RBI,이대호,LOT,88,,2006
R,박한이,SAM,89,,2006
SB,이종욱,DOO,51,7SB실패,2006
SLG,이대호,LOT,0.571,,2006
OBP,양준혁,SAM,0.445,,2006
W,류현진,HAN,18,6패,2006
ERA,류현진,HAN,2.23,201.66이닝50자책점,2006
WPCT,전준호,HYU,0.778,14승4패,2006
K,류현진,HAN,204,,2006
SV,오승환,SAM,47,,2006
HLD,권오준,SAM,32,,2006
AVG,이현곤,KIA,0.338,453타수153H,2007
H,이현곤,KIA,153,,2007
2B,양준혁,SAM,34,,2007
3B,이종욱,DOO,12,,2007
HR,심정수,SAM,31,,2007
RBI,심정수,SAM,101,,2007
R,고영민,DOO,89,,2007
SB,이대형,LG,53,20SB실패,2007
SLG,이대호,LOT,0.600,,2007
OBP,김동주,DOO,0.457,,2007
W,리오스,DOO,22,5패,2007
ERA,리오스,DOO,2.07,234.66이닝54자책점,2007
WPCT,리오스,DOO,0.815,22승5패,2007
K,류현진,HAN,178,,2007
SV,오승환,SAM,40,,2007
HLD,류택현,LG,23,,2007
AVG,김현수,DOO,0.357,470타수168H,2008
H,김현수,DOO,168,,2008
2B,김현수,DOO,34,,2008
3B,김주찬,LOT,7,,2008
HR,김태균,HAN,31,,2008
RBI,가르시아,LOT,111,,2008
R,이종욱,DOO,98,,2008
SB,이대형,LG,63,15SB실패,2008
SLG,김태균,HAN,0.622,,2008
OBP,김현수,DOO,0.454,,2008
W,김광현,SK,16,4패,2008
ERA,윤석민,KIA,2.33,154.66이닝40자책점,2008
WPCT,채병용,SK,0.833,10승2패,2008
K,김광현,SK,150,,2008
SV,오승환,SAM,39,,2008
HLD,정우람,SK,25,,2008
AVG,박용택,LG,0.372,452타수168H,2009
H,김현수,DOO,172,,2009
2B,강정호, NEX,33,,2009
2B,홍성흔,LOT,,,2009
3B,김원섭,KIA,9,,2009
HR,김상현,KIA,36,,2009
RBI,김상현,KIA,127,,2009
R,정근우,SK,98,,2009
R,최희섭,KIA,,,2009
SB,이대형,LG,64,18SB실패,2009
SLG,김상현,KIA,0.632,,2009
OBP,페타지니,LG,0.468,,2009
W,로페즈,KIA,14,5패,2009
W,윤성환,SAM,5패,,2009
W,조정훈,LOT,9패,,2009
ERA,김광현,SK,2.80,138.33이닝43자책점,2009
WPCT,김광현,SK,0.857,12승2패,2009
K,류현진,HAN,188,,2009
SV,애킨스,LOT,26,,2009
SV,이용찬,DOO,,,2009
HLD,권혁,SAM,21,,2009
AVG,이대호,LOT,0.364,478타수174H,2010
H,이대호,LOT,174,,2010
2B,조성환,LOT,31,,2010
2B,최정,SK,,,2010
3B,장민석,NEX,10,,2010
HR,이대호,LOT,44,,2010
RBI,이대호,LOT,133,,2010
R,이대호,LOT,99,,2010
SB,이대형,LG,66,21SB실패,2010
SLG,이대호,LOT,0.667,,2010
OBP,이대호,LOT,0.444,,2010
W,김광현,SK,17,7패,2010
ERA,류현진,HAN,1.82,192.66이닝39자책점,2010
WPCT,차우찬,SAM,0.833,10승2패,2010
K,류현진,HAN,187,,2010
SV,손승락,NEX,26,,2010
HLD,정재훈,DOO,23,,2010
AVG,이대호,LOT,0.357,493타수176H,2011
H,이대호,LOT,176,,2011
2B,전준우,LOT,38,,2011
3B,정수빈,DOO,8,,2011
HR,최형우,SAM,30,,2011
RBI,최형우,SAM,118,,2011
R,전준우,LOT,97,,2011
SB,오재원,DOO,46,7SB실패,2011
SLG,최형우,SAM,0.617,,2011
OBP,이대호,LOT,0.433,,2011
W,윤석민,KIA,17,5패,2011
ERA,윤석민,KIA,2.45,172.33이닝47자책점,2011
WPCT,윤석민,KIA,0.773,17승5패,2011
K,윤석민,KIA,178,,2011
SV,오승환,SAM,47,,2011
HLD,정우람,SK,25,,2011
AVG,김태균,HAN,0.363,416타수151H,2012
H,손아섭,LOT,158,,2012
2B,박병호,NEX,34,,2012
2B,박용택,LG,,,2012
3B,서건창,NEX,10,,2012
HR,박병호,NEX,31,,2012
RBI,박병호,NEX,105,,2012
R,이용규,KIA,86,,2012
SB,이용규,KIA,44,12SB실패,2012
SLG,박병호,NEX,0.561,,2012
OBP,김태균,HAN,0.474,,2012
W,장원삼,SAM,17,6패,2012
ERA,나이트,NEX,2.20,208.66이닝51자책점,2012
WPCT,탈보트,SAM,0.824,14승3패,2012
K,류현진,HAN,210,,2012
SV,오승환,SAM,37,,2012
HLD,박희수,SK,34,,2012
AVG,李炳圭,LG,0.348,374타수130H,2013
H,손아섭,LOT,172,,2013
2B,이택근,NEX,31,,2013
3B,오지환,LG,8,,2013
3B,정수빈,DOO,,,2013
HR,박병호,NEX,37,,2013
RBI,박병호,NEX,117,,2013
R,박병호,NEX,91,,2013
SB,김종호,NC,50,14SB실패,2013
SLG,박병호,NEX,0.602,,2013
OBP,김태균,HAN,0.444,,2013
W,배영수,SAM,14,4패,2013
W,세든,SK,,6패,2013
ERA,찰리,NC,2.48,189이닝52자책점,2013
WPCT,류제국,LG,0.857,12승2패,2013
K,리즈,LG,188,,2013
SV,손승락,NEX,46,,2013
HLD,한현희,NEX,27,,2013
AVG,서건창,NEX,0.370,543타수201H,2014
H,서건창,NEX,201,,2014
2B,서건창,NEX,41,,2014
3B,서건창,NEX,17,,2014
HR,박병호,NEX,52,,2014
RBI,박병호,NEX,124,,2014
R,서건창,NEX,135,,2014
SB,김상수,SAM,53,6SB실패,2014
SLG,강정호,NEX,0.739,,2014
OBP,김태균,HAN,0.463,,2014
W,밴헤켄,NEX,20,6패,2014
ERA,밴덴헐크,SAM,3.18,152.66이닝54자책점,2014
WPCT,소사,NEX,0.833,10승2패,2014
K,밴덴헐크,SAM,180,,2014
SV,손승락,NEX,32,,2014
HLD,한현희,NEX,31,,2014
